investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,Year,total_passengers,fatal_serious_injuries,fatal_serious_fraction,make_model
Accident,WPR14CA074,2013-12-23,"Fullerton, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,172M,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Cessna 172M
Incident,ENG14IA005,2013-12-23,"St. Louis, MO",United States,Non-Fatal,Minor,Airplane,Boeing,737 3H4,No,2.0,Turbo Fan,121,,0.0,0.0,0.0,107.0,UNK,2013,107.0,0.0,0.0,Boeing 737 3H4
Accident,WPR14CA075,2013-12-24,"St. Ignatius, MT",United States,Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,091,Personal,0.0,0.0,1.0,1.0,VMC,2013,2.0,0.0,0.0,Cessna 152
Accident,ANC14CA013,2013-12-24,"Platinum, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA 20,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Piper PA 20
Accident,ERA14CA078,2013-12-24,"Miami, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172S,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Cessna 172S
Accident,WPR14CA076,2013-12-24,"Laural, MT",United States,Non-Fatal,Substantial,Airplane,Aviat,A-1C-200,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Aviat A-1C-200
Accident,WPR14CA077,2013-12-25,"Hillsboro, OR",United States,Non-Fatal,Substantial,Airplane,Cessna,T182T,No,,Reciprocating,091,Personal,0.0,4.0,0.0,0.0,IMC,2013,4.0,4.0,1.0,Cessna T182T
Accident,ERA14FA077,2013-12-26,"Biglerville, PA",United States,Fatal,Destroyed,Airplane,Piper,PA-30,No,2.0,Reciprocating,091,Personal,2.0,0.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Piper PA-30
Accident,WPR14FA078,2013-12-27,"Fresno, CA",United States,Fatal,Destroyed,Airplane,Cessna,172K,No,1.0,Reciprocating,091,Personal,2.0,0.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Cessna 172K
Accident,WPR14LA079,2013-12-27,"Lodi, CA",United States,Non-Fatal,Substantial,Airplane,Stinson,108 1,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Stinson 108 1
Accident,ERA14CA082,2013-12-27,"Littleton, NC",United States,Non-Fatal,Substantial,Airplane,Cessna,182H,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2013,1.0,0.0,0.0,Cessna 182H
Accident,CEN14LA094,2013-12-28,"Gladewater, TX",United States,Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,091,Personal,0.0,2.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Cessna 150L
Accident,WPR14LA080,2013-12-29,"Pacoima, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,091,Instructional,0.0,2.0,0.0,0.0,VMC,2013,2.0,2.0,1.0,Cessna 172N
Accident,CEN14CA095,2013-12-29,"Paradis, LA",United States,Non-Fatal,Substantial,Airplane,Cessna,182N,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Cessna 182N
Accident,CEN14CA096,2013-12-30,"Concordia, KS",United States,Non-Fatal,Substantial,Airplane,Cessna,172K,No,1.0,Reciprocating,091,Personal,0.0,2.0,0.0,2.0,VMC,2013,4.0,2.0,0.5,Cessna 172K
