investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,Year,total_passengers,fatal_serious_injuries,fatal_serious_fraction,make_model
Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,Incident,Minor,Airplane,Boeing,747,No,4.0,Turbo Fan,Part 129: Foreign,,0.0,0.0,0.0,588.0,VMC,1983,588.0,0.0,0.0,Boeing 747
Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,Fatal(1),Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,1.0,0.0,0.0,IMC,1983,2.0,2.0,1.0,Piper PA-28-140
Accident,FTW83LA177,1983-04-02,"MCKINNEY, TX",United States,Fatal(1),,Airplane,De Havilland,DHC-6,No,2.0,Turbo Prop,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,4.0,VMC,1983,5.0,1.0,0.2,De Havilland DHC-6
Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,Incident,Minor,Airplane,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,100.0,VMC,1983,100.0,0.0,0.0,Boeing 727-200
Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,Non-Fatal,Substantial,Airplane,Beechcraft,C35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1983,1.0,0.0,0.0,Beechcraft C35
Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,180K,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1983,1.0,0.0,0.0,Cessna 180K
Accident,ATL84LA120,1984-03-14,"MYRTLE BEACH, SC",United States,Non-Fatal,Substantial,Airplane,Beechcraft,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,1.0,VMC,1984,1.0,0.0,0.0,Beechcraft 99
Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,4.0,VMC,1984,4.0,0.0,0.0,Piper PA-23-250
Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,Fatal(1),Destroyed,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,1.0,0.0,0.0,0.0,VMC,1984,1.0,1.0,1.0,Piper PA-18-150
Accident,MKC85LA019,1984-11-09,"JUNCTION CITY, KS",United States,Non-Fatal,Substantial,Airplane,Cessna,R172E,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1984,1.0,0.0,0.0,Cessna R172E
Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,Fatal(1),Destroyed,Airplane,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,0.0,VMC,1984,1.0,1.0,1.0,Cessna 182A
Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,Non-Fatal,Destroyed,Airplane,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,1.0,1.0,0.0,VMC,1985,2.0,1.0,0.5,Cessna 182Q
Accident,LAX85LA257,1985-05-13,"MESA, AZ",United States,Non-Fatal,Destroyed,Airplane,Cessna,T303,No,2.0,Reciprocating,Part 91: General Aviation,Positioning,0.0,1.0,0.0,0.0,VMC,1985,1.0,1.0,1.0,Cessna T303
Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,Fatal(1),Destroyed,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,1.0,1.0,4.0,0.0,VMC,1985,6.0,2.0,0.3333333333333333,Cessna 152
Incident,ATL85IA251,1985-08-16,"HILTON HEAD, SC",United States,Incident,Substantial,Airplane,Cessna,441,No,2.0,Turbo Prop,Part 91: General Aviation,Business,0.0,0.0,0.0,4.0,VMC,1985,4.0,0.0,0.0,Cessna 441
Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,Fatal(17),Destroyed,Airplane,Cessna,208,No,1.0,Turbo Prop,Part 91: General Aviation,Skydiving,17.0,0.0,0.0,0.0,VMC,1985,17.0,17.0,1.0,Cessna 208
Accident,LAX86LA166,1986-04-08,"MESA, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,VMC,1986,2.0,0.0,0.0,Piper PA-23-250
Accident,FTW86FA066B,1986-04-15,"HANKAMER, TX",United States,Fatal(2),Destroyed,Airplane,Grumman,G164A,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,2.0,0.0,0.0,0.0,VMC,1986,2.0,2.0,1.0,Grumman G164A
Accident,FTW86FA066A,1986-04-15,"HANKAMER, TX",United States,Fatal(2),Destroyed,Airplane,Grumman,G164A,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,2.0,0.0,0.0,0.0,VMC,1986,2.0,2.0,1.0,Grumman G164A
Accident,SEA86FA121B,1986-05-19,"MEAD, WA",United States,Fatal(2),Destroyed,Airplane,Cessna,TU206F,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,2.0,0.0,1.0,0.0,VMC,1986,3.0,2.0,0.6666666666666666,Cessna TU206F
Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,Fatal(2),Destroyed,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,2.0,0.0,1.0,0.0,VMC,1986,3.0,2.0,0.6666666666666666,Cessna 152
Incident,BFO86IA031B,1986-05-30,"CALVERTON, NY",United States,Incident,,Airplane,Grumman,F-14A,No,2.0,Turbo Jet,Part 91: General Aviation,Public Aircraft,0.0,0.0,0.0,69.0,VMC,1986,69.0,0.0,0.0,Grumman F-14A
Accident,DCA87MA018B,1987-01-15,"KEARNS, UT",United States,Fatal(10),Destroyed,Airplane,Mooney,M-20C,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,10.0,0.0,0.0,0.0,VMC,1987,10.0,10.0,1.0,Mooney M-20C
Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Mexico,Fatal(1),,Airplane,Boeing,707-323B,No,4.0,Turbo Jet,Part 121: Air Carrier,Unknown,1.0,0.0,3.0,131.0,UNK,1987,135.0,1.0,0.007407407407407408,Boeing 707-323B
Accident,SEA87LA072,1987-04-02,"JEAN, NV",United States,Non-Fatal,Substantial,Airplane,Piper,PA 16,No,,,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1987,1.0,0.0,0.0,Piper PA 16
Accident,DCA88WA048,1988-03-27,"OXFORD, United Kingdom",United Kingdom,Fatal(1),Destroyed,Airplane,Piper,PA-38,No,,Unknown,"Non-U.S., Non-Commercial",Instructional,1.0,0.0,0.0,0.0,UNK,1988,1.0,1.0,1.0,Piper PA-38
Accident,CHI88FA091,1988-04-05,"ST. PAUL, MN",United States,Non-Fatal,Substantial,Airplane,Beechcraft,B90,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,5.0,IMC,1988,5.0,0.0,0.0,Beechcraft B90
Accident,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Costa Rica,Non-Fatal,,Airplane,Boeing,757-225,No,2.0,Unknown,Part 121: Air Carrier,,0.0,1.0,0.0,192.0,UNK,1988,193.0,1.0,0.0051813471502590676,Boeing 757-225
Incident,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Japan,Incident,Minor,Airplane,Boeing,747-123,No,4.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,258.0,VMC,1988,258.0,0.0,0.0,Boeing 747-123
Accident,BFO88LA070,1988-08-01,"SELBYVILLE, DE",United States,Non-Fatal,Substantial,Airplane,Cessna,150K,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,0.0,0.0,0.0,1.0,VMC,1988,1.0,0.0,0.0,Cessna 150K
Accident,BFO88LA073,1988-08-07,"RACINE, WV",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,Ferry,0.0,0.0,1.0,0.0,VMC,1988,1.0,0.0,0.0,Piper PA-28-180
Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",United States,Non-Fatal,,Airplane,Boeing,747SP-21,No,4.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,1.0,1.0,220.0,UNK,1988,222.0,1.0,0.0045045045045045045,Boeing 747SP-21
Accident,CHI89FA035,1988-12-24,"MADISON, IN",United States,Fatal(2),Destroyed,Airplane,Cessna,310R,No,2.0,Reciprocating,Part 91: General Aviation,Positioning,2.0,0.0,0.0,0.0,VMC,1988,2.0,2.0,1.0,Cessna 310R
Accident,MKC89FA099,1989-04-27,"AINSWORTH, NE",United States,Fatal(3),Destroyed,Airplane,Maule,M-5,No,1.0,Reciprocating,Part 91: General Aviation,Other Work Use,3.0,0.0,0.0,0.0,IMC,1989,3.0,3.0,1.0,Maule M-5
Accident,MIA89LA175,1989-06-15,"MIRAMAR, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,3.0,0.0,VMC,1989,3.0,0.0,0.0,Cessna 210L
Accident,MKC89LA151,1989-07-03,"MORRILTON, AR",United States,Non-Fatal,Substantial,Airplane,Piper,"J3 ""CUB""",No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,1.0,0.0,VMC,1989,1.0,0.0,0.0,"Piper J3 ""CUB"""
Accident,NYC89FA177B,1989-07-30,"SALISBURY TWP, PA",United States,Fatal(7),Destroyed,Airplane,Cessna,182B,No,1.0,Reciprocating,Part 91: General Aviation,Other Work Use,7.0,0.0,0.0,0.0,VMC,1989,7.0,7.0,1.0,Cessna 182B
Accident,NYC89FA177A,1989-07-30,"SALISBURY TWP, PA",United States,Fatal(7),Destroyed,Airplane,Beechcraft,A36,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,7.0,0.0,0.0,0.0,VMC,1989,7.0,7.0,1.0,Beechcraft A36
Accident,BFO89LA066,1989-07-30,"WILLIAMSBURG, VA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,4.0,VMC,1989,4.0,0.0,0.0,Piper PA-32-300
Accident,ATL90FA040A,1989-12-17,"CINCINNATI, OH",United States,Fatal(1),Substantial,Airplane,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,1.0,0.0,1.0,1.0,VMC,1989,3.0,1.0,0.3333333333333333,Cessna 182
Accident,NYC90LA058,1990-01-28,"ROXBURY, ME",United States,Non-Fatal,Destroyed,Airplane,Taylorcraft,BC12D,No,1.0,Unknown,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,VMC,1990,2.0,0.0,0.0,Taylorcraft BC12D
Accident,NYC90FA061,1990-01-29,"WILLISTON, VT",United States,Fatal(2),Destroyed,Airplane,Cessna,208B,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,2.0,0.0,0.0,0.0,IMC,1990,2.0,2.0,1.0,Cessna 208B
Accident,NYC90FA063,1990-02-01,"FAIRFIELD, CT",United States,Fatal(1),Destroyed,Airplane,Piper,PA-28-181,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,0.0,0.0,0.0,VMC,1990,1.0,1.0,1.0,Piper PA-28-181
Accident,ANC90LA043,1990-03-16,"SULATNA CROSS, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,170B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,VMC,1990,2.0,0.0,0.0,Cessna 170B
Accident,ATL90FA095B,1990-04-09,"GADSDEN, AL",United States,Fatal(2),Destroyed,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,2.0,0.0,0.0,7.0,VMC,1990,9.0,2.0,0.2222222222222222,Cessna 172
Accident,ATL90FA095A,1990-04-09,"GADSDEN, AL",United States,Fatal(2),Substantial,Airplane,Embraer,EMB-120,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,2.0,0.0,0.0,7.0,VMC,1990,9.0,2.0,0.2222222222222222,Embraer EMB-120
Accident,MIA90FA105,1990-04-16,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Embraer,EMB-110,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,8.0,VMC,1990,8.0,0.0,0.0,Embraer EMB-110
Accident,MKC90LA087,1990-04-17,"SALINA, KS",United States,Non-Fatal,Substantial,Airplane,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,0.0,0.0,0.0,2.0,VMC,1990,2.0,0.0,0.0,Cessna 150
Accident,DCA90WA430,1990-04-30,"MOOSONEE, Canada",Canada,Fatal(1),Destroyed,Airplane,Beechcraft,C99 AIRLINER,No,2.0,Unknown,Part 129: Foreign,Unknown,1.0,3.0,0.0,0.0,UNK,1990,4.0,4.0,1.0,Beechcraft C99 AIRLINER
Accident,ANC90LA112,1990-07-05,"COLDFOOT, AK",United States,Fatal(1),Destroyed,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,Business,1.0,1.0,0.0,0.0,VMC,1990,2.0,2.0,1.0,Piper PA-28-180
Accident,MKC90LA146,1990-07-12,"WICHITA, KS",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,2.0,0.0,VMC,1990,2.0,0.0,0.0,Piper PA-28-140
Accident,DCA90WA049,1990-07-27,"BHARU, Malaysia",Malaysia,Non-Fatal,,Airplane,McDonnell Douglas,DC-10-30,No,,Unknown,Part 121: Air Carrier,Unknown,0.0,1.0,3.0,3.0,UNK,1990,7.0,1.0,0.14285714285714285,McDonnell Douglas DC-10-30
Accident,NYC90FA220,1990-09-14,"PLAIN CITY, OH",United States,Fatal(2),Destroyed,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Personal,2.0,0.0,0.0,0.0,IMC,1990,2.0,2.0,1.0,Cessna 152
Accident,NYC90FA227,1990-09-23,"ELIOT, ME",United States,Fatal(4),Destroyed,Airplane,Piper,PA-24-260,No,1.0,Reciprocating,Part 91: General Aviation,Personal,4.0,0.0,0.0,0.0,VMC,1990,4.0,4.0,1.0,Piper PA-24-260
Accident,ANC91LA002,1990-10-06,"KOYUKTOLIK, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,185B,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,1.0,VMC,1990,1.0,0.0,0.0,Cessna 185B
Accident,DEN91LA018,1990-11-07,"ABILENE, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,3.0,IMC,1990,3.0,0.0,0.0,Piper PA-23-250
Accident,FTW91FA017,1990-11-23,"ENGLAND, AR",United States,Fatal(1),Destroyed,Airplane,Beechcraft,B55,No,2.0,Reciprocating,Part 91: General Aviation,Personal,1.0,0.0,0.0,0.0,VMC,1990,1.0,1.0,1.0,Beechcraft B55
Accident,SEA91LA034,1990-12-15,"SNOHOMISH, WA",United States,Fatal(1),Substantial,Airplane,Beechcraft,D50C,No,2.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,1.0,4.0,VMC,1990,6.0,1.0,0.16666666666666666,Beechcraft D50C
Accident,SEA91FA038,1990-12-31,"ESTACADA, OR",United States,Fatal(2),Substantial,Airplane,Cessna,182B,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,2.0,1.0,1.0,0.0,VMC,1990,4.0,3.0,0.75,Cessna 182B
Accident,SEA91TA03,1991-01-25,"PINEDALE, WY",United States,Non-Fatal,Substantial,Airplane,Piper,PA-34,No,,Unknown,Public Aircraft,Public Aircraft,0.0,0.0,0.0,1.0,UNK,1991,1.0,0.0,0.0,Piper PA-34
Accident,CHI91FA088B,1991-02-03,"OSCEOLA, WI",United States,Fatal(7),Destroyed,Airplane,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,7.0,0.0,0.0,0.0,VMC,1991,7.0,7.0,1.0,Cessna 182
Accident,CHI91FA088A,1991-02-03,"OSCEOLA, WI",United States,Fatal(7),Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,7.0,0.0,0.0,0.0,VMC,1991,7.0,7.0,1.0,Piper PA-28-140
Accident,CHI91DCJ01,1991-02-24,"WESTERN, NE",United States,Fatal(1),Destroyed,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,0.0,0.0,0.0,IMC,1991,1.0,1.0,1.0,Cessna 172N
Accident,ATL91FA067,1991-03-18,"HAMILTON, NC",United States,Fatal(2),Destroyed,Airplane,Piper,PA-28-201T,No,1.0,Reciprocating,Part 91: General Aviation,Business,2.0,0.0,0.0,0.0,IMC,1991,2.0,2.0,1.0,Piper PA-28-201T
Incident,NYC91IA137,1991-06-06,"BOSTON, MA",United States,Incident,Minor,Airplane,Boeing,727-214,No,3.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,156.0,VMC,1991,156.0,0.0,0.0,Boeing 727-214
Accident,LAX91LA306,1991-07-11,"WAILUA, HI",United States,Fatal(1),Substantial,Airplane,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,4.0,VMC,1991,5.0,1.0,0.2,Cessna 182
Accident,ANC91LA117,1991-08-07,"SEWARD, AK",United States,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,1.0,1.0,VMC,1991,2.0,0.0,0.0,Bellanca 7GCBC
Accident,ANC91LA121,1991-08-09,"ANCHORAGE, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1991,1.0,0.0,0.0,Piper PA-18
Accident,ANC91LA155,1991-09-19,"EAGLE, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,,0.0,0.0,0.0,1.0,VMC,1991,1.0,0.0,0.0,Piper PA-18-150
Accident,FTW92FA014,1991-10-27,"MARBLE FALLS, TX",United States,Fatal(2),Destroyed,Airplane,Beechcraft,A36,No,1.0,Reciprocating,Part 91: General Aviation,Personal,2.0,0.0,0.0,0.0,VMC,1991,2.0,2.0,1.0,Beechcraft A36
Accident,FTW92LA028,1991-11-29,"LAS CRUCES, NM",United States,Non-Fatal,Substantial,Airplane,Cessna,120,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1991,1.0,0.0,0.0,Cessna 120
Incident,CHI92RA060,1991-12-12,"NAKINA, Canada",Canada,Incident,Minor,Airplane,Boeing,B-747-121,No,,Unknown,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,0.0,VMC,1991,0.0,0.0,,Boeing B-747-121
Accident,ANC92FA083,1991-12-13,"NINILCHIK, AK",United States,Fatal(1),Destroyed,Airplane,Piper,"PA-31T3, T1040",No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,,1.0,0.0,0.0,0.0,IMC,1991,1.0,1.0,1.0,"Piper PA-31T3, T1040"
Accident,LAX92FA065,1991-12-20,"FLAGSTAFF, AZ",United States,Fatal(2),Destroyed,Airplane,Beechcraft,58P,No,2.0,Reciprocating,Part 91: General Aviation,Business,2.0,0.0,0.0,0.0,IMC,1991,2.0,2.0,1.0,Beechcraft 58P
Accident,LAX92MA183,1992-04-22,"PERRIS, CA",United States,Fatal(16),Destroyed,Airplane,De Havilland,DHC-6-200,No,2.0,Turbo Prop,Part 91: General Aviation,Skydiving,16.0,6.0,0.0,0.0,VMC,1992,22.0,22.0,1.0,De Havilland DHC-6-200
Accident,DCA92MA048,1992-09-07,"HINCKLEY, IL",United States,Fatal(12),Destroyed,Airplane,Beechcraft,C-45H,No,2.0,Reciprocating,Part 91: General Aviation,Skydiving,12.0,0.0,0.0,0.0,VMC,1992,12.0,12.0,1.0,Beechcraft C-45H
Accident,NYC93LA041,1992-12-13,"LONDONDERRY, NH",United States,Non-Fatal,Substantial,Airplane,Cessna,T210,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,1.0,0.0,VMC,1992,1.0,0.0,0.0,Cessna T210
Accident,LAX93WA090,1992-12-29,"LORETO, MEXICO",Mexico,Non-Fatal,Substantial,Airplane,Piper,PA-34-200,No,,Unknown,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,VMC,1992,2.0,0.0,0.0,Piper PA-34-200
Accident,ANC93FA054,1993-04-23,"KASHWITNA, AK",United States,Fatal(2),Destroyed,Airplane,Piper,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,Business,2.0,0.0,0.0,0.0,VMC,1993,2.0,2.0,1.0,Piper PA-18-150
Accident,NYC93FA154,1993-08-14,"EAST MORICHES, NY",United States,Fatal(1),Destroyed,Airplane,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,4.0,0.0,0.0,VMC,1993,5.0,5.0,1.0,Cessna 182A
Accident,LAX93LA329,1993-08-18,PACIFIC OCEAN,PACIFIC OCEAN,Non-Fatal,Destroyed,Airplane,Piper,PA-34-220,No,1.0,Reciprocating,Part 91: General Aviation,Ferry,0.0,0.0,0.0,1.0,VMC,1993,1.0,0.0,0.0,Piper PA-34-220
Accident,FTW93LA257,1993-09-04,"FENTRESS, TX",United States,Fatal(1),Minor,Airplane,Beechcraft,C-45H,No,2.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,10.0,VMC,1993,11.0,1.0,0.09090909090909091,Beechcraft C-45H
Accident,BFO93LA184,1993-09-25,"EMPORIA, VA",United States,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,Aerial Observation,0.0,0.0,0.0,2.0,VMC,1993,2.0,0.0,0.0,Cessna 172
Accident,LAX94WA053,1993-11-13,"MULEGE, MEXICO",Mexico,Non-Fatal,Substantial,Airplane,Piper,PA-32R-300,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,1.0,3.0,1.0,VMC,1993,5.0,1.0,0.2,Piper PA-32R-300
Accident,BFO94FA021,1993-11-28,"BUTLER, PA",United States,Fatal(1),Destroyed,Airplane,Piper,PA32R-301,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,0.0,0.0,0.0,IMC,1993,1.0,1.0,1.0,Piper PA32R-301
Accident,ANC94LA026,1993-12-12,"PORT LIONS, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,5.0,VMC,1993,5.0,0.0,0.0,Piper PA-32
Accident,FTW94FA060B,1994-01-02,"PEARLAND, TX",United States,Fatal(5),Destroyed,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,5.0,0.0,0.0,0.0,VMC,1994,5.0,5.0,1.0,Cessna 172N
Accident,DCA94WA036,1994-02-22,"ROSKILDE, DENMARK",Denmark,Non-Fatal,Substantial,Airplane,Beechcraft,2000 (STARSHIP),No,,Unknown,"Non-U.S., Non-Commercial",Business,0.0,0.0,0.0,6.0,UNK,1994,6.0,0.0,0.0,Beechcraft 2000 (STARSHIP)
Accident,NYC94FA128,1994-07-16,"TREMONT CITY, OH",United States,Fatal(4),Destroyed,Airplane,Cessna,K172R,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,4.0,0.0,0.0,0.0,VMC,1994,4.0,4.0,1.0,Cessna K172R
Accident,CHI94LA298,1994-08-25,"CENTRALIA, IL",United States,Non-Fatal,Substantial,Airplane,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,1.0,0.0,VMC,1994,1.0,0.0,0.0,Cessna 150
Accident,ANC94LA126,1994-08-31,"CAPE SABINE, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,208,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,2.0,VMC,1994,2.0,0.0,0.0,Cessna 208
Accident,LAX94WA373,1994-09-14,"PRINCE GEORGE, CANADA",Canada,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,,Unknown,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,VMC,1994,1.0,0.0,0.0,Piper PA-28-140
Accident,MIA94WA215,1994-09-20,"LONG ISLAND, BAHAMAS",Bahamas,Non-Fatal,Substantial,Airplane,Piper,PA32R-301T,No,,Unknown,Part 91: General Aviation,Personal,0.0,0.0,0.0,6.0,VMC,1994,6.0,0.0,0.0,Piper PA32R-301T
Accident,DCA94WA077,1994-09-23,"WESTMAN ISLES, Iceland",Iceland,Fatal(2),Destroyed,Airplane,Aero Commander,500S,No,,Unknown,"Non-U.S., Commercial",Unknown,2.0,0.0,0.0,0.0,UNK,1994,2.0,2.0,1.0,Aero Commander 500S
Accident,LAX95WA056,1994-11-18,"TRIPUI, MEXICO",Mexico,Non-Fatal,Substantial,Airplane,Piper,PA-32R-300,No,,Unknown,Part 91: General Aviation,Personal,0.0,0.0,0.0,4.0,VMC,1994,4.0,0.0,0.0,Piper PA-32R-300
Accident,LAX95FA062,1994-12-27,"HOLTVILLE, CA",United States,Fatal(2),Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Business,2.0,0.0,0.0,0.0,VMC,1994,2.0,2.0,1.0,Piper PA-28-140
Accident,DCA95WA012,1994-12-29,"VAN, Turkey",Turkey,Fatal(54),Destroyed,Airplane,Boeing,737-400,No,,Unknown,"Non-U.S., Commercial",Unknown,54.0,21.0,0.0,0.0,IMC,1994,75.0,75.0,1.0,Boeing 737-400
Accident,NYC95LA070,1995-03-11,"WILMINGTON, OH",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28RT-201,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,VMC,1995,2.0,0.0,0.0,Piper PA-28RT-201
Accident,NYC95LA093,1995-04-24,"BANGOR, ME",United States,Non-Fatal,Substantial,Airplane,Cessna,185,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,VMC,1995,2.0,0.0,0.0,Cessna 185
Accident,MIA95WA120,1995-04-26,"WALKERS CAY, Bahamas",Bahamas,Non-Fatal,Destroyed,Airplane,Cessna,550,Yes,2.0,Turbo Fan,Part 91: General Aviation,Personal,0.0,0.0,5.0,0.0,VMC,1995,5.0,0.0,0.0,Cessna 550
Accident,FTW95WA227,1995-05-06,"SOTO CANO, HONDURAS",Honduras,Non-Fatal,Substantial,Airplane,Cessna,550,No,2.0,Turbo Fan,"Non-U.S., Non-Commercial",Public Aircraft,0.0,0.0,0.0,3.0,VMC,1995,3.0,0.0,0.0,Cessna 550
